,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Series ID,Year,Period,Value
JTU54009900HIL,2000,M12,799
JTU54009900HIL,2001,M01,1269
JTU54009900HIL,2001,M02,832
JTU54009900HIL,2001,M03,918
JTU54009900HIL,2001,M04,904
JTU54009900HIL,2001,M05,961
JTU54009900HIL,2001,M06,953
JTU54009900HIL,2001,M07,1043
JTU54009900HIL,2001,M08,1005
JTU54009900HIL,2001,M09,802
JTU54009900HIL,2001,M10,928
JTU54009900HIL,2001,M11,635
JTU54009900HIL,2001,M12,633
JTU54009900HIL,2002,M01,1004
JTU54009900HIL,2002,M02,717
JTU54009900HIL,2002,M03,820
JTU54009900HIL,2002,M04,992
JTU54009900HIL,2002,M05,860
JTU54009900HIL,2002,M06,812
JTU54009900HIL,2002,M07,924
JTU54009900HIL,2002,M08,862
JTU54009900HIL,2002,M09,769
JTU54009900HIL,2002,M10,933
JTU54009900HIL,2002,M11,664
JTU54009900HIL,2002,M12,686
JTU54009900HIL,2003,M01,987
JTU54009900HIL,2003,M02,767
JTU54009900HIL,2003,M03,661
JTU54009900HIL,2003,M04,927
JTU54009900HIL,2003,M05,805
JTU54009900HIL,2003,M06,833
JTU54009900HIL,2003,M07,891
JTU54009900HIL,2003,M08,814
JTU54009900HIL,2003,M09,775
JTU54009900HIL,2003,M10,886
JTU54009900HIL,2003,M11,660
JTU54009900HIL,2003,M12,641
JTU54009900HIL,2004,M01,939
JTU54009900HIL,2004,M02,613
JTU54009900HIL,2004,M03,772
JTU54009900HIL,2004,M04,1003
JTU54009900HIL,2004,M05,820
JTU54009900HIL,2004,M06,921
JTU54009900HIL,2004,M07,901
JTU54009900HIL,2004,M08,840
JTU54009900HIL,2004,M09,861
JTU54009900HIL,2004,M10,946
JTU54009900HIL,2004,M11,768
JTU54009900HIL,2004,M12,672
JTU54009900HIL,2005,M01,981
JTU54009900HIL,2005,M02,851
JTU54009900HIL,2005,M03,880
JTU54009900HIL,2005,M04,1070
JTU54009900HIL,2005,M05,926
JTU54009900HIL,2005,M06,1095
JTU54009900HIL,2005,M07,1051
JTU54009900HIL,2005,M08,961
JTU54009900HIL,2005,M09,1000
JTU54009900HIL,2005,M10,972
JTU54009900HIL,2005,M11,782
JTU54009900HIL,2005,M12,718
JTU54009900HIL,2006,M01,1037
JTU54009900HIL,2006,M02,846
JTU54009900HIL,2006,M03,992
JTU54009900HIL,2006,M04,1013
JTU54009900HIL,2006,M05,1117
JTU54009900HIL,2006,M06,1077
JTU54009900HIL,2006,M07,1155
JTU54009900HIL,2006,M08,1025
JTU54009900HIL,2006,M09,963
JTU54009900HIL,2006,M10,1127
JTU54009900HIL,2006,M11,958
JTU54009900HIL,2006,M12,767
JTU54009900HIL,2007,M01,1139
JTU54009900HIL,2007,M02,834
JTU54009900HIL,2007,M03,985
JTU54009900HIL,2007,M04,1186
JTU54009900HIL,2007,M05,1089
JTU54009900HIL,2007,M06,940
JTU54009900HIL,2007,M07,1086
JTU54009900HIL,2007,M08,1028
JTU54009900HIL,2007,M09,1017
JTU54009900HIL,2007,M10,1180
JTU54009900HIL,2007,M11,879
JTU54009900HIL,2007,M12,773
JTU54009900HIL,2008,M01,1100
JTU54009900HIL,2008,M02,857
JTU54009900HIL,2008,M03,874
JTU54009900HIL,2008,M04,1053
JTU54009900HIL,2008,M05,852
JTU54009900HIL,2008,M06,1045
JTU54009900HIL,2008,M07,919
JTU54009900HIL,2008,M08,865
JTU54009900HIL,2008,M09,830
JTU54009900HIL,2008,M10,905
JTU54009900HIL,2008,M11,697
JTU54009900HIL,2008,M12,688
JTU54009900HIL,2009,M01,787
JTU54009900HIL,2009,M02,616
JTU54009900HIL,2009,M03,629
JTU54009900HIL,2009,M04,810
JTU54009900HIL,2009,M05,701
JTU54009900HIL,2009,M06,677
