,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Series ID,Year,Period,Value
JTU51009900HIL,2000,M12,193
JTU51009900HIL,2001,M01,350
JTU51009900HIL,2001,M02,207
JTU51009900HIL,2001,M03,197
JTU51009900HIL,2001,M04,262
JTU51009900HIL,2001,M05,235
JTU51009900HIL,2001,M06,245
JTU51009900HIL,2001,M07,252
JTU51009900HIL,2001,M08,219
JTU51009900HIL,2001,M09,195
JTU51009900HIL,2001,M10,238
JTU51009900HIL,2001,M11,200
JTU51009900HIL,2001,M12,147
JTU51009900HIL,2002,M01,286
JTU51009900HIL,2002,M02,156
JTU51009900HIL,2002,M03,166
JTU51009900HIL,2002,M04,261
JTU51009900HIL,2002,M05,241
JTU51009900HIL,2002,M06,235
JTU51009900HIL,2002,M07,242
JTU51009900HIL,2002,M08,198
JTU51009900HIL,2002,M09,216
JTU51009900HIL,2002,M10,218
JTU51009900HIL,2002,M11,180
JTU51009900HIL,2002,M12,183
JTU51009900HIL,2003,M01,283
JTU51009900HIL,2003,M02,181
JTU51009900HIL,2003,M03,179
JTU51009900HIL,2003,M04,270
JTU51009900HIL,2003,M05,245
JTU51009900HIL,2003,M06,221
JTU51009900HIL,2003,M07,238
JTU51009900HIL,2003,M08,191
JTU51009900HIL,2003,M09,211
JTU51009900HIL,2003,M10,213
JTU51009900HIL,2003,M11,165
JTU51009900HIL,2003,M12,147
JTU51009900HIL,2004,M01,253
JTU51009900HIL,2004,M02,160
JTU51009900HIL,2004,M03,184
JTU51009900HIL,2004,M04,260
JTU51009900HIL,2004,M05,270
JTU51009900HIL,2004,M06,287
JTU51009900HIL,2004,M07,262
JTU51009900HIL,2004,M08,220
JTU51009900HIL,2004,M09,236
JTU51009900HIL,2004,M10,271
JTU51009900HIL,2004,M11,204
JTU51009900HIL,2004,M12,181
JTU51009900HIL,2005,M01,308
JTU51009900HIL,2005,M02,194
JTU51009900HIL,2005,M03,184
JTU51009900HIL,2005,M04,265
JTU51009900HIL,2005,M05,268
JTU51009900HIL,2005,M06,238
JTU51009900HIL,2005,M07,258
JTU51009900HIL,2005,M08,213
JTU51009900HIL,2005,M09,212
JTU51009900HIL,2005,M10,268
JTU51009900HIL,2005,M11,210
JTU51009900HIL,2005,M12,164
JTU51009900HIL,2006,M01,268
JTU51009900HIL,2006,M02,228
JTU51009900HIL,2006,M03,226
JTU51009900HIL,2006,M04,265
JTU51009900HIL,2006,M05,258
JTU51009900HIL,2006,M06,276
JTU51009900HIL,2006,M07,324
JTU51009900HIL,2006,M08,233
JTU51009900HIL,2006,M09,254
JTU51009900HIL,2006,M10,305
JTU51009900HIL,2006,M11,231
JTU51009900HIL,2006,M12,192
JTU51009900HIL,2007,M01,265
JTU51009900HIL,2007,M02,217
JTU51009900HIL,2007,M03,216
JTU51009900HIL,2007,M04,255
JTU51009900HIL,2007,M05,299
JTU51009900HIL,2007,M06,277
JTU51009900HIL,2007,M07,298
JTU51009900HIL,2007,M08,268
JTU51009900HIL,2007,M09,236
JTU51009900HIL,2007,M10,286
JTU51009900HIL,2007,M11,196
JTU51009900HIL,2007,M12,177
JTU51009900HIL,2008,M01,273
JTU51009900HIL,2008,M02,200
JTU51009900HIL,2008,M03,187
JTU51009900HIL,2008,M04,259
JTU51009900HIL,2008,M05,220
JTU51009900HIL,2008,M06,247
JTU51009900HIL,2008,M07,249
JTU51009900HIL,2008,M08,218
JTU51009900HIL,2008,M09,210
JTU51009900HIL,2008,M10,202
JTU51009900HIL,2008,M11,170
JTU51009900HIL,2008,M12,125
JTU51009900HIL,2009,M01,201
JTU51009900HIL,2009,M02,133
JTU51009900HIL,2009,M03,150
JTU51009900HIL,2009,M04,146
JTU51009900HIL,2009,M05,174
JTU51009900HIL,2009,M06,190
JTU51009900HIL,2009,M07,217
JTU51009900HIL,2009,M08,175
JTU51009900HIL,2009,M09,140
JTU51009900HIL,2009,M10,205
JTU51009900HIL,2009,M11,112
JTU51009900HIL,2009,M12,136
JTU51009900HIL,2010,M01,175
JTU51009900HIL,2010,M02,129
JTU51009900HIL,2010,M03,131
JTU51009900HIL,2010,M04,199
JTU51009900HIL,2010,M05,190
JTU51009900HIL,2010,M06,218
JTU51009900HIL,2010,M07,200
JTU51009900HIL,2010,M08,170
JTU51009900HIL,2010,M09,159
JTU51009900HIL,2010,M10,189
JTU51009900HIL,2010,M11,134
JTU51009900HIL,2010,M12,141
JTU51009900HIL,2011,M01,161
JTU51009900HIL,2011,M02,119
JTU51009900HIL,2011,M03,145
JTU51009900HIL,2011,M04,144
JTU51009900HIL,2011,M05,169
JTU51009900HIL,2011,M06,193
JTU51009900HIL,2011,M07,182
JTU51009900HIL,2011,M08,171
JTU51009900HIL,2011,M09,146
JTU51009900HIL,2011,M10,192
JTU51009900HIL,2011,M11,148
JTU51009900HIL,2011,M12,133
JTU51009900HIL,2012,M01,179
JTU51009900HIL,2012,M02,138
JTU51009900HIL,2012,M03,165
JTU51009900HIL,2012,M04,216
JTU51009900HIL,2012,M05,200
JTU51009900HIL,2012,M06,217
JTU51009900HIL,2012,M07,191
JTU51009900HIL,2012,M08,200
JTU51009900HIL,2012,M09,191
JTU51009900HIL,2012,M10,216
JTU51009900HIL,2012,M11,181
JTU51009900HIL,2012,M12,129
JTU51009900HIL,2013,M01,231
JTU51009900HIL,2013,M02,170
JTU51009900HIL,2013,M03,168
JTU51009900HIL,2013,M04,208
JTU51009900HIL,2013,M05,243
JTU51009900HIL,2013,M06,220
JTU51009900HIL,2013,M07,243
JTU51009900HIL,2013,M08,206
JTU51009900HIL,2013,M09,215
JTU51009900HIL,2013,M10,214
JTU51009900HIL,2013,M11,160
JTU51009900HIL,2013,M12,126
JTU51009900HIL,2014,M01,177
JTU51009900HIL,2014,M02,144
JTU51009900HIL,2014,M03,183
JTU51009900HIL,2014,M04,200
JTU51009900HIL,2014,M05,209
JTU51009900HIL,2014,M06,221
JTU51009900HIL,2014,M07,218
JTU51009900HIL,2014,M08,201
JTU51009900HIL,2014,M09,195
JTU51009900HIL,2014,M10,200
JTU51009900HIL,2014,M11,205
JTU51009900HIL,2014,M12,158
JTU51009900HIL,2015,M01,228
JTU51009900HIL,2015,M02,128
JTU51009900HIL,2015,M03,180
JTU51009900HIL,2015,M04,229
JTU51009900HIL,2015,M05,214
JTU51009900HIL,2015,M06,239
JTU51009900HIL,2015,M07,212
JTU51009900HIL,2015,M08,183
JTU51009900HIL,2015,M09,183
JTU51009900HIL,2015,M10,233
JTU51009900HIL,2015,M11,184
JTU51009900HIL,2015,M12,157
JTU51009900HIL,2016,M01,249
JTU51009900HIL,2016,M02,183
JTU51009900HIL,2016,M03,206
JTU51009900HIL,2016,M04,225
JTU51009900HIL,2016,M05,213
JTU51009900HIL,2016,M06,237
JTU51009900HIL,2016,M07,204
JTU51009900HIL,2016,M08,193
JTU51009900HIL,2016,M09,166
JTU51009900HIL,2016,M10,233
JTU51009900HIL,2016,M11,152
JTU51009900HIL,2016,M12,141
JTU51009900HIL,2017,M01,264
JTU51009900HIL,2017,M02,155
JTU51009900HIL,2017,M03,214
JTU51009900HIL,2017,M04,223
JTU51009900HIL,2017,M05,251
JTU51009900HIL,2017,M06,253
JTU51009900HIL,2017,M07,229
JTU51009900HIL,2017,M08,214
JTU51009900HIL,2017,M09,176
JTU51009900HIL,2017,M10,258
JTU51009900HIL,2017,M11,162
JTU51009900HIL,2017,M12,132
JTU51009900HIL,2018,M01,252
JTU51009900HIL,2018,M02,179
JTU51009900HIL,2018,M03,173
JTU51009900HIL,2018,M04,210
JTU51009900HIL,2018,M05,248
JTU51009900HIL,2018,M06,282
JTU51009900HIL,2018,M07,233
JTU51009900HIL,2018,M08,220
JTU51009900HIL,2018,M09,204
JTU51009900HIL,2018,M10,199
JTU51009900HIL,2018,M11,178
JTU51009900HIL,2018,M12,138
JTU51009900HIL,2019,M01,219
JTU51009900HIL,2019,M02,160
JTU51009900HIL,2019,M03,178
JTU51009900HIL,2019,M04,253
JTU51009900HIL,2019,M05,248
JTU51009900HIL,2019,M06,262
JTU51009900HIL,2019,M07,283
JTU51009900HIL,2019,M08,243
JTU51009900HIL,2019,M09,213
JTU51009900HIL,2019,M10,231
JTU51009900HIL,2019,M11,200
JTU51009900HIL,2019,M12,155
